COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
MARIA CLARET,8,2019,220708095,220708095,9876129,0,6325740,36413155,23783313,11080000,174418811,123667369,45323311,117981,5310148,0,0,0,0,0,0,0,0,0,61069749,52574707,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,9,2019,225766083,225766083,9952848,0,6268483,36416609,23783349,11080000,179396626,126719160,47362822,107450,5207192,0,0,0,0,0,0,0,0,0,61414133,53814228,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,10,2019,231377499,231377499,15929435,0,11448711,36904574,23784355,11520000,178543490,117041097,56614438,124765,4763189,0,0,0,0,0,0,0,0,0,63207623,60546728,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,11,2019,231467126,231467126,13564599,0,8735358,37337101,24216064,11520000,180565426,114652487,60944621,219381,4748937,0,0,0,0,0,0,0,0,0,62570506,61309228,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,12,2019,226681039,226681039,14322853,0,8974637,37409972,24289513,11520000,174948214,127253473,46362527,76448,1255764,0,0,0,0,0,0,0,0,0,63228296,60827898,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,1,2020,229167844,229167844,19424801,0,14361360,37410126,24289037,11520000,172332917,112377406,59130168,89982,735359,0,0,0,0,0,0,0,0,0,63136178,61668998,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,2,2020,230597582,230597582,19416085,0,15031659,37413108,24289063,11520000,173768389,119413361,53749189,224976,380861,0,0,0,0,0,0,0,0,0,64893251,61311798,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,3,2020,230136930,230136930,16712302,0,11743154,37416844,24289072,11520000,176007784,95532548,79427393,666980,380861,0,0,0,0,0,0,0,0,0,65931058,60256798,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,4,2020,231957247,231957247,20567168,0,15687439,37446963,24289110,11521000,173943116,62665319,110346148,565586,366061,0,0,0,0,0,0,0,0,0,69753719,59888732,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,5,2020,235205983,235205983,22921166,0,18801432,40798953,28789578,10161000,171485864,58406161,112080007,648855,350841,0,0,0,0,0,0,0,0,0,71443334,60518033,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,6,2020,235205983,235205983,22921166,0,18801432,40798953,28789578,10161000,171485864,58406161,112080007,648855,350841,0,0,0,0,0,0,0,0,0,71443334,60518033,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,7,2020,257883567,257883567,27396787,0,23359533,58662817,45793529,10011000,171823963,87761355,82233388,1509431,319787,0,0,0,0,0,0,0,0,0,78147601,60304932,0,0,0,0,0,0,0,0,0,0,
