COOPERATIVA,MES#,AÑO,INGRESOS,Productos Financieros,Productos x Servicios,Otros Productos,Ingresos Anteriores,EGRESOS,Gastos Financieros,Gastos de Administracion,Otros Gastos,Gastos Anteriores,EXCEDENTES
15 DE SEPTIEMBRE,12,2024,96309489,91944221,3798233,320810,246225,76074376,22980754,53011600,68381,13641,20235113
15 DE SEPTIEMBRE,1,2025,8289367,8131752,146187,0,11428,6939971,2486906,4453060,0,5,1349396
15 DE SEPTIEMBRE,2,2025,16717547,16347027,357618,0,12902,13858708,4929039,8929611,0,58,2858839
15 DE SEPTIEMBRE,3,2025,25289993,24526096,585916,0,177981,21094077,7605288,13488731,0,58,4195916
15 DE SEPTIEMBRE,4,2025,33743652,32805324,759364,0,178964,27529366,10297862,17231446,0,58,6214286
15 DE SEPTIEMBRE,5,2025,42458468,41311401,950581,1200,195286,34030076,12862494,21161943,0,5639,8428392
15 DE SEPTIEMBRE,6,2025,51139677,49770849,1171359,1200,196269,41072619,15438781,25628199,0,5639,10067058
15 DE SEPTIEMBRE,7,2025,59972971,58240903,1353818,1200,377050,47634097,18050192,29578266,0,5639,12338874
15 DE SEPTIEMBRE,8,2025,68825809,66892380,1553603,1200,378626,54145880,20683155,33456493,0,6232,14679929
15 DE SEPTIEMBRE,9,2025,77605941,75484886,1740246,1200,379609,61416311,23396858,38012550,0,6903,16189630
15 DE SEPTIEMBRE,10,2025,86410389,84146423,1864530,19335,380101,68573569,26156198,42410468,0,6903,17836820
15 DE SEPTIEMBRE,11,2025,95566234,92899705,2038698,247239,380592,75755626,28901326,46847397,0,6903,19810608
15 DE SEPTIEMBRE,12,2025,108214093,104598191,2286084,948243,381575,87763959,34416218,53340838,0,6903,20450134
15 DE SEPTIEMBRE,1,2026,8974998,8785385,137813,50000,1800,6734400,2777373,3859207,0,97820,2240598
15 DE SEPTIEMBRE,2,2026,17864629,17494038,306114,61575,2902,13915237,5761999,8036185,0,117053,3949392
15 DE SEPTIEMBRE,3,2026,26988966,26373935,538976,73151,2902,22059822,8756057,13109485,0,194280,4929143
4 DE JUNIO,4,2021,3802622,3864774,360120,-211136,-211136,3591485,1699179,2060262,-211136,43180,211137
4 DE JUNIO,6,2021,6009876,6061674,563710,-307754,-307754,5702160,2651978,3311374,-307754,46562,307716
4 DE JUNIO,7,2021,8497243,7500573,996670,0,0,8194452,3499626,4317510,0,377316,302791
4 DE JUNIO,8,2021,9848622,8666873,1181749,0,0,9547331,4099583,5070432,0,377316,301291
4 DE JUNIO,9,2021,11211092,9829982,1381110,0,0,11038070,4698319,5962435,0,377316,173022
4 DE JUNIO,10,2021,12803519,11077032,1699273,0,27214,12622011,5255707,6988988,0,377316,181508
4 DE JUNIO,11,2021,14156956,12219560,1910182,0,27214,13980595,5841848,7761431,0,377316,176361
4 DE JUNIO,12,2021,15491547,13482942,1976849,4542,27214,15230896,6438867,8471046,0,320983,260651
4 DE JUNIO,1,2022,1261754,1241677,20077,0,0,1136471,581748,554723,0,0,125283
4 DE JUNIO,2,2022,2648843,2441523,192320,15000,0,2446720,1186405,1260315,0,0,202123
4 DE JUNIO,3,2022,4200674,3699819,484645,16210,0,3961916,1789591,2172325,0,0,238758
4 DE JUNIO,4,2022,5681342,4992004,673128,16210,0,5320742,2346537,2974205,0,0,360600
4 DE JUNIO,5,2022,7273133,6379235,877688,16210,0,6853782,2890987,3905638,57157,0,419351
4 DE JUNIO,6,2022,8716638,7716972,983456,16210,0,8291860,3418392,4816311,57157,0,424778
4 DE JUNIO,7,2022,10156159,9011529,1128420,16210,0,9706854,4011165,5638532,57157,0,449305
4 DE JUNIO,8,2022,11516912,10151383,1349319,16210,0,11065567,4592448,6415962,57157,0,451345
4 DE JUNIO,9,2022,12862545,11204699,1641636,16210,0,12403981,5149060,7197764,57157,0,458564
4 DE JUNIO,10,2022,14167071,12278471,1872390,16210,0,13707425,5684605,7965663,57157,0,459646
4 DE JUNIO,11,2022,15459402,13364695,2078497,16210,0,15000040,6213039,8729844,57157,0,459362
4 DE JUNIO,12,2022,16944337,14533332,2318261,16210,76534,16750129,6731518,9961154,57157,300,194208
4 DE JUNIO,1,2023,1362811,1242021,120790,0,0,1205050,481101,723949,0,0,157761
4 DE JUNIO,2,2023,2857980,2466677,391303,0,0,2553264,958968,1594296,0,0,304716
4 DE JUNIO,3,2023,4466918,3725838,670736,70344,0,4085901,1446360,2639541,0,0,381017
4 DE JUNIO,4,2023,5938815,5063231,805240,70344,0,5384991,1904025,3480966,0,0,553824
4 DE JUNIO,5,2023,7517627,6471696,975587,70344,0,6877887,2351339,4526548,0,0,639740
4 DE JUNIO,6,2023,9066971,7902771,1093856,70344,0,8376458,2767156,5609302,0,0,690513
4 DE JUNIO,7,2023,10877757,9596698,1210715,70344,0,10056920,3189214,6867706,0,0,820837
4 DE JUNIO,8,2023,12395871,10957317,1368210,70344,0,11480185,3587865,7892320,0,0,915686
4 DE JUNIO,9,2023,13931625,12307772,1553509,70344,0,12828696,3987196,8780989,0,60511,1102929
4 DE JUNIO,10,2023,15461194,13699298,1691552,70344,0,14263277,4391974,9810792,0,60511,1197917
4 DE JUNIO,11,2023,17142462,15197964,1874154,70344,0,15784093,4811996,10911586,60511,0,1358369
4 DE JUNIO,12,2023,18673938,16561304,2042290,70344,0,17621475,5232770,12328194,60511,0,1052463
4 DE JUNIO,1,2024,1467191,1309610,157581,0,0,1321372,413145,908227,0,0,145819
4 DE JUNIO,2,2024,2993567,2585460,408107,0,0,2746298,846797,1899501,0,0,247269
4 DE JUNIO,3,2024,4523131,3870434,652697,0,0,4142180,1264645,2877535,0,0,380951
4 DE JUNIO,4,2024,6175160,5199020,976140,0,0,5673846,1687405,3986441,0,0,501314
4 DE JUNIO,5,2024,7931817,6710921,1220896,0,0,7321537,2106195,5215342,0,0,610280
4 DE JUNIO,6,2024,9601085,8222639,1378446,0,0,8909287,2524256,6385031,0,0,691798
4 DE JUNIO,7,2024,11244439,9720983,1523456,0,0,10438101,2942519,7495582,0,0,806338
4 DE JUNIO,8,2024,12870595,11169206,1701389,0,0,11930973,3362351,8568622,0,0,939622
4 DE JUNIO,9,2024,14548747,12668858,1879889,0,0,13418730,3781316,9637414,0,0,1130017
4 DE JUNIO,10,2024,16225888,14204020,2021868,0,0,14997569,4226459,10771110,0,0,1228319
4 DE JUNIO,11,2024,17955665,15775209,2180456,0,0,16617573,4685153,11932420,0,0,1338092
4 DE JUNIO,12,2024,19621263,17408805,2212458,0,0,18718905,5185911,13532994,0,0,902358
4 DE JUNIO,1,2025,1578639,1546975,31664,0,0,1462218,484826,977392,0,0,116421
4 DE JUNIO,2,2025,3201330,3073498,127832,0,0,2896330,953534,1942796,0,0,305000
4 DE JUNIO,3,2025,4953083,4605958,347125,0,0,4532308,1416871,3115437,0,0,420775
4 DE JUNIO,4,2025,6715306,6195836,519470,0,0,6134256,1880822,4253434,0,0,581050
4 DE JUNIO,5,2025,8455854,7826790,629064,0,0,7800838,2339881,5460957,0,0,655016
4 DE JUNIO,6,2025,10218530,9490486,728044,0,0,9465819,2776943,6688876,0,0,752711
4 DE JUNIO,7,2025,11962497,11133255,829242,0,0,11038134,3233450,7804684,0,0,924363
4 DE JUNIO,8,2025,13913783,12884114,1029669,0,0,12657319,3695451,8961868,0,0,1256464
4 DE JUNIO,9,2025,15748241,14545472,1202769,0,0,14354335,4165105,10189230,0,0,1393906
4 DE JUNIO,10,2025,17584650,16210441,1374209,0,0,16044436,4633885,11410551,0,0,1540214
4 DE JUNIO,11,2025,19496431,17907947,1588484,0,0,17746202,5099093,12647109,0,0,1750229
4 DE JUNIO,12,2025,21256243,19559774,1696469,0,0,19884105,5559087,14325018,0,0,1372138
4 DE JUNIO,1,2026,1648952,1625497,23455,0,0,1468503,469588,998915,0,0,180449
4 DE JUNIO,2,2026,3333299,3230014,103285,0,0,3032947,926768,2106179,0,0,300352
4 DE JUNIO,3,2026,5237883,4943758,294125,0,0,4766781,1390315,3376466,0,0,471100
APAGUIZ,1,2019,5190358,5150672,39428,258,0,4649102,2624771,2020952,0,3379,541256
APAGUIZ,2,2019,10202359,10064196,137647,516,0,9339602,5241949,4093435,0,4218,862757
APAGUIZ,3,2019,16246821,14888837,266951,774,1090259,15182823,7886162,7292443,0,4218,1063998
APAGUIZ,4,2019,21814717,20046840,676585,1033,1090259,20748995,10548025,10196497,0,4473,1065722
APAGUIZ,5,2019,27601417,27271859,328188,1291,79,23003145,11046061,11956211,0,873,4598272
APAGUIZ,7,2019,39021051,36841338,1087646,1808,1090259,37232782,17613906,19483609,130794,4473,1788269
APAGUIZ,8,2019,44828137,42614169,1121643,2066,1090259,41575822,19829974,21610581,130794,4473,3252315
APAGUIZ,9,2019,50602472,48323262,1186627,2324,1090259,46699402,22040754,24523381,130794,4473,3903070
APAGUIZ,10,2019,56065018,53751576,1220600,2583,1090259,51595162,24254520,27205375,130794,4473,4469856
APAGUIZ,11,2019,61864572,59164829,1287932,321552,1090259,59928971,29800538,29993166,130794,4473,1935601
APAGUIZ,12,2019,73421887,70637402,1372416,321810,1090259,72880645,33161181,39584197,130794,4473,541242
APAGUIZ,1,2020,6160031,6105044,54650,258,79,4834646,2461981,2371792,0,873,1325385
APAGUIZ,2,2020,12014323,11825304,188425,516,78,9435168,4961453,4472842,0,873,2579155
APAGUIZ,3,2020,17667758,17417075,249830,774,79,14099545,7005302,7093370,0,873,3568213
APAGUIZ,4,2020,23070182,22780545,288525,1033,79,18253947,9031976,9221098,0,873,4816235
APAGUIZ,5,2020,27601417,27271859,328188,1291,79,23003145,11046061,11956211,0,873,4598272
APAGUIZ,6,2020,34423376,32488919,389972,1544406,79,28811339,13607408,15203058,0,873,5612037
APAGUIZ,7,2020,40309141,38342196,422201,1544665,79,33800259,16189044,17610342,0,873,6508882
APAGUIZ,8,2020,45763763,43753440,465321,1544923,79,38656768,18860118,19795777,0,873,7106995
APAGUIZ,9,2020,51640384,49540390,554735,1545181,78,43535445,21633259,21901313,0,873,8104939
APAGUIZ,10,2020,57338827,55165985,627323,1545440,79,49080014,24308776,24770365,0,873,8258813
APAGUIZ,11,2020,62826338,60626698,653863,1545698,79,54962716,27921792,27040051,0,873,7863622
APAGUIZ,12,2020,69705458,66634728,734368,2336284,78,66828395,30622767,36204755,0,873,2877063
APAGUIZ,1,2021,6069465,5810714,61878,1801,195072,4240898,2149214,2091684,0,0,1828567
APAGUIZ,2,2021,12782141,12328310,116812,141948,195071,9483169,4861367,4621802,0,0,3298972
APAGUIZ,3,2021,18873782,18346423,189502,142785,195072,15157562,8145410,7012152,0,0,3716220
APAGUIZ,4,2021,24873689,24263193,271802,143622,195072,20671158,10946431,9724727,0,0,4202531
APAGUIZ,5,2021,30953967,30300297,314718,143880,195072,26309362,13763123,12546239,0,0,4644605
APAGUIZ,6,2021,37595255,36876801,378665,144717,195072,32347540,16689554,15653894,0,4092,5247715
APAGUIZ,7,2021,44139621,43362455,436540,145554,195072,38356288,19551019,18648991,152186,4092,5783333
APAGUIZ,8,2021,50611180,49631389,477934,306785,195072,43825148,22411849,21257021,152186,4092,6786032
APAGUIZ,9,2021,56809267,55794095,512478,307622,195072,49108630,25143043,23728841,232654,4092,7700637
APAGUIZ,10,2021,62821713,61717764,600418,308459,195072,54722675,27439485,27012704,266394,4092,8099038
APAGUIZ,11,2021,69068448,67925158,638922,309296,195072,61220086,30512480,30473913,229601,4092,7848362
APAGUIZ,12,2021,75820727,74569660,695412,360583,195072,72990557,33613755,39143109,229601,4092,2830170
APAGUIZ,1,2022,6529387,6261849,28553,238985,0,4972381,2770158,2202223,0,0,1557006
APAGUIZ,2,2022,14025751,13458658,45405,521688,0,10572943,5652020,4920923,0,0,3452808
APAGUIZ,3,2022,20686429,20085820,78084,522525,0,16586373,8609075,7977298,0,0,4100056
APAGUIZ,4,2022,26652459,26025802,103873,522784,0,22776085,11076948,11698277,0,860,3876374
APAGUIZ,5,2022,32876542,32192659,160262,523621,0,29372495,14486059,14885576,0,860,3504047
APAGUIZ,6,2022,39437623,38529004,196908,711711,0,36296972,17422534,18873578,0,860,3140651
APAGUIZ,7,2022,45949992,45000393,237051,712548,0,42073268,19951137,22121271,0,860,3876724
APAGUIZ,8,2022,52283854,51290287,280182,713385,0,48478369,23362344,25115165,0,860,3805485
APAGUIZ,9,2022,58797791,57593343,319279,885169,0,54881815,26397358,28450870,32727,860,3915976
APAGUIZ,10,2022,65179454,63946545,346903,886006,0,60777770,29397136,31347047,32727,860,4401684
APAGUIZ,11,2022,71846339,70558959,400537,886843,0,67235870,32442550,34755666,32727,4927,4610469
APAGUIZ,12,2022,78750016,77211463,650873,887680,0,77418082,35511747,41697827,203581,4927,1331934
APAGUIZ,1,2023,6834731,6801373,32522,836,0,5800991,3287948,2513043,0,0,1033740
APAGUIZ,2,2023,13543102,13490424,51005,1673,0,12484054,6403978,6071871,0,8205,1059048
APAGUIZ,3,2023,20718046,20600299,115236,2511,0,19424005,9685253,9731717,0,7035,1294041
APAGUIZ,4,2023,27732949,27586074,143527,3348,0,25991139,12603385,13380719,0,7035,1741810
APAGUIZ,5,2023,35102335,34889157,208993,4185,0,33274536,16345112,16922389,0,7035,1827799
APAGUIZ,6,2023,42506666,42235673,265971,5022,0,40614880,19712977,20894868,0,7035,1891786
APAGUIZ,7,2023,50186743,49866518,314366,5859,0,47061309,22834000,24220274,0,7035,3125434
APAGUIZ,8,2023,62533827,61931242,347600,254985,0,58173284,30400213,27762044,3992,7035,4360543
APAGUIZ,9,2023,70399307,69788042,355443,255822,0,64517747,33432170,31074550,3992,7035,5881560
APAGUIZ,10,2023,78311768,77653549,401560,256659,0,71686922,37145328,34530567,3992,7035,6624846
APAGUIZ,11,2023,85941980,85253464,431020,257496,0,77703749,40390761,37301961,3992,7035,8238231
APAGUIZ,12,2023,94023882,93291846,473703,258333,0,89671848,43668130,45992691,3992,7035,4352034
APAGUIZ,1,2024,8370058,8330375,38847,836,0,6676386,3357900,3310640,0,7846,1693672
APAGUIZ,2,2024,16622956,16548324,72959,1673,0,14298092,6770966,7510900,0,16226,2324864
APAGUIZ,3,2024,25282255,25176737,103008,2510,0,21195010,9799756,11379028,0,16226,4087245
APAGUIZ,4,2024,33956853,33808145,144467,4241,0,29466540,13680839,15769475,0,16226,4490313
APAGUIZ,5,2024,43771788,43593404,171833,6551,0,38616632,18337855,20262551,0,16226,5155156
APAGUIZ,6,2024,52986992,52762933,215199,8860,0,46642469,21539001,25087242,0,16226,6344523
APAGUIZ,7,2024,62421341,62122668,246860,51813,0,55599830,25654260,29929344,0,16226,6821511
APAGUIZ,8,2024,72574189,72247690,272377,54122,0,64727993,29183730,35523669,0,20594,7846196
APAGUIZ,9,2024,82201942,81834883,309438,57621,0,71904817,32358430,39525793,0,20594,10297125
APAGUIZ,10,2024,91998713,91609508,325984,63221,0,81328407,36416821,44890992,0,20594,10670306
APAGUIZ,11,2024,102274064,101801003,396354,76707,0,88898572,39676012,49201966,0,20594,13375492
APAGUIZ,12,2024,113993083,113148459,726928,117696,0,104857554,43764264,61072696,0,20594,9135529
APAGUIZ,1,2025,11940832,11880788,56546,3498,0,7947374,3796043,4151331,0,0,3993458
APAGUIZ,2,2025,24596421,23535136,113214,948071,0,17343486,8403578,8939908,0,0,7252935
APAGUIZ,3,2025,37423260,36243805,229332,950123,0,25535527,12517077,13011180,0,7270,11887733
APAGUIZ,4,2025,50514290,49277892,284223,952175,0,34659760,16787975,17864515,0,7270,15854530
APAGUIZ,5,2025,63374963,62086002,334734,954227,0,43656608,21063904,22585434,0,7270,19718355
APAGUIZ,6,2025,76335003,75001367,377357,956279,0,54521211,25361665,29152276,0,7270,21813792
APAGUIZ,7,2025,89811660,88395878,416807,998975,0,63965099,29762837,34194992,0,7270,25846561
APAGUIZ,8,2025,104580458,103137707,441724,1001027,0,72885205,33951001,38926934,0,7270,31695253
APAGUIZ,9,2025,118652393,116877598,476626,1298169,0,82335102,38476188,43851644,0,7270,36317291
APAGUIZ,10,2025,132486972,130682128,504622,1300222,0,92778016,43511088,49259658,0,7270,39708956
APAGUIZ,11,2025,145705747,143868503,536701,1300543,0,102066348,47737026,54322052,0,7270,43639399
APAGUIZ,12,2025,160359953,158366327,598372,1395254,0,130831131,52767873,78055988,0,7270,29528822
APAGUIZ,1,2026,13102464,13035051,67092,321,0,8731842,4840174,3891668,0,0,4370622
APAGUIZ,2,2026,25814468,25658747,151617,4104,0,18040618,9398130,8642488,0,0,7773850
APAGUIZ,3,2026,38446644,38091368,196480,158794,0,29143078,14394313,14748765,0,0,9303565
ARSENAULT,3,2026,20477786,20129272,338601,8911,1000,20438066,10228916,10024146,6154,178850,39718
BECERRA,1,2019,498393,483488,14905,0,0,463266,237733,215533,10000,0,35127
BECERRA,2,2019,1143094,1115499,27595,0,0,934689,473272,441417,20000,0,208405
BECERRA,3,2019,1758771,1717837,40934,0,0,1409216,708324,670892,30000,0,349555
BECERRA,4,2019,2387766,2332562,55204,0,0,1861089,946409,874680,40000,0,526677
BECERRA,5,2019,2513089,2442897,70192,0,0,2511069,1168485,1302584,40000,0,2020
BECERRA,7,2019,4177471,4081849,95622,0,0,3474991,1669597,1728974,76420,0,702480
BECERRA,8,2019,4784780,4675792,108988,0,0,4125305,1933826,2105059,86420,0,659475
BECERRA,9,2019,5456519,5333010,123509,0,0,4582148,2149908,2335820,96420,0,874371
BECERRA,10,2019,6020165,5883000,137165,0,0,5069986,2375943,2587623,106420,0,950179
BECERRA,11,2019,6566823,6416673,150150,0,0,5525889,2604506,2800965,120418,0,1040934
BECERRA,12,2019,7127947,6964785,163162,0,0,6991561,2894773,3879355,217433,0,136386
BECERRA,1,2020,590761,575618,15143,0,0,486084,230836,245248,10000,0,104677
BECERRA,2,2020,1162172,1162172,0,0,0,1086424,459801,606623,20000,0,75748
BECERRA,3,2020,1629244,1586383,42861,0,0,1607913,690755,887158,30000,0,21331
BECERRA,4,2020,2042814,1986167,56647,0,0,2034176,928491,1065685,40000,0,8638
BECERRA,5,2020,2513089,2442897,70192,0,0,2511069,1168485,1302584,40000,0,2020
BECERRA,6,2020,2977142,2890876,86266,0,0,3073429,1415387,1618042,40000,0,-96287
BECERRA,7,2020,3383338,3280016,103322,0,0,3455053,1668059,1746994,40000,0,-71715
BECERRA,8,2020,3817965,3703432,114533,0,0,3875463,1918017,1917446,40000,0,-57498
BECERRA,9,2020,4273860,4142867,130993,0,0,4474426,2176315,2258111,40000,0,-200566
BECERRA,10,2020,4761633,4630400,131233,0,0,4951851,2431168,2480683,40000,0,-190218
BECERRA,11,2020,5240939,5091058,149881,0,0,5524583,2872605,2611978,40000,0,-283644
BECERRA,12,2020,7293438,7127514,165924,0,0,7179049,3138663,3831959,208427,0,114389
BECERRA,1,2021,582905,565844,17061,0,0,623582,252001,371581,0,0,-40677
BECERRA,2,2021,1084863,1054849,30014,0,0,1063261,519937,543324,0,0,21602
BECERRA,3,2021,1595151,1552343,42808,0,0,1557554,789505,768049,0,0,37597
BECERRA,4,2021,2120522,2061208,59314,0,0,2174329,1068678,1105651,0,0,-53807
BECERRA,5,2021,2623475,2548955,74520,0,0,2652119,1331223,1313896,7000,0,-28644
BECERRA,7,2021,3660955,3551224,109731,0,0,3728366,1877295,1844071,7000,0,-67411
BECERRA,9,2021,4623129,4481865,141264,0,0,4827580,2423636,2396944,7000,0,-204451
